"id","textDisplay","authorDisplayName","publishedAt"
"UgzkJAMUZiqYRecmZLR4AaABAg","Hello I am from Uzbekistan too","@Likee466","2023-11-10T16:26:45Z"
"Ugxo6V4SUWRlB_wPySN4AaABAg","The dreams are good for our life","@user-sh6yz1li1k","2023-11-09T14:56:44Z"
"Ugx8nZ2IphPRvhk3OjN4AaABAg","are there a Uzbek","@IELTSwithRoy","2023-11-09T09:37:30Z"
"UgwFViztVAQ_awkxqp14AaABAg","I love your videos and thank you for everything following you from Yemen🇾🇪","@user-id1rk3yc5d","2023-11-09T06:03:24Z"
"UgxwR7TxBdeH-P3yJap4AaABAg","Iʼm from Ukraine 🇺🇦","@maryzhornik637","2023-11-06T21:33:05Z"
"Ugwc5GyrczOQ9kkPQZB4AaABAg","V informative","@muhammadanjumyousufzai6762","2023-11-02T18:29:54Z"
"UgwNhKFjjY6ackus88B4AaABAg","Wonderful creativity ❤","@MahirChowdhury-pn8il","2023-11-02T13:00:27Z"
"UgxsRI73QKoESRU1cbR4AaABAg","It is important ❤❤❤😊😊","@user-bm3bm3tj9q","2023-10-31T02:38:50Z"
"UgxYaZWd7JbNUOlZK314AaABAg","It is essential to memorise associated with listening this BBC podcast isn&#39;t true","@user-bm3bm3tj9q","2023-10-31T02:37:14Z"
"UgxSrqu_qIrZczPVCW94AaABAg","Thank you very much👩‍🏫👩‍🏫👩‍🏫","@user-gvfjjc-gdj","2023-10-30T11:00:39Z"
"Ugz8-RYT9A85kAsScuJ4AaABAg","I from Uzbekistan 🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿🇺🇿","@JorabekToshpolatov-jc2dm","2023-10-29T18:53:20Z"
"UgynL95yO0jgIfIf4Hp4AaABAg","From Bangladesh 🇧🇩","@buruzkhan","2023-10-26T04:05:41Z"
"Ugx1ofCNXKV6_iU6MjZ4AaABAg","Dear bbc team , you are the best . Your videos very interesting","@AzizaErkinova-ms6hh","2023-10-25T14:53:02Z"
"Ugz3tgSSQub5Pz-ZF-R4AaABAg","I love listening BBC`s podcasts","@topfaktlar8752","2023-10-25T11:21:14Z"
"UgyVfpOj9yhaPcVSLmR4AaABAg","I&#39;m from Uzbekistan","@wtuiasshj4589","2023-10-25T09:56:09Z"
"Ugyn4bYsV4Gr_FR9drN4AaABAg","I&#39;m from Bangladesh ❤","@shakilhosan5909","2023-10-24T07:16:53Z"
"UgypKb23CBBzXJRwcqR4AaABAg","Hello from Uzbekistan 🇺🇿🇺🇿🇺🇿","@ulugbeksariboev3110","2023-10-24T03:18:28Z"
"Ugw9mqT02NhWyKHHZJZ4AaABAg","Thank you ✨✨","@PlampinasTremeuco-ct1wf","2023-10-22T15:47:25Z"
"UgwD_UORN4pjn4U-9cV4AaABAg","Why I don’t understand 😢","@kasik_youtube","2023-10-19T16:17:24Z"
"UgxLQV1QDw0nx-O2O6p4AaABAg","Hi ,it’s very useful for learning English vocabulary,speaking is well understood ,and everyone has a dream ,everyone dreams are not success,some people dream is success,because they are hard work for their dream come true","@shebimaimu1620","2023-10-16T16:37:17Z"
"Ugyt_kRMIAAsvkLTjPl4AaABAg","One like from Usbekistan,","@OZODBEK_C","2023-10-16T13:22:14Z"
"UgxcKtaejCUPFtCYH314AaABAg","Hi i have dream but cannot fulfilled it by some reasons but now i want to achieve my dreams i want to live my life with these dreams","@jscollection4662","2023-10-16T07:02:24Z"
"Ugwla0sEUSeA9WtG5SN4AaABAg","Following your dream means  achieving success  in life.  It only possible through hard work and dedication","@gopukv201","2023-10-14T17:51:26Z"
"UgwlLRm4FzM-Zdf_YyZ4AaABAg","Hi","@user-te2pp5qg7v","2023-10-14T15:47:46Z"
"UgxkL8D-LMJPvV9pkRR4AaABAg","Hello😂 goodby✋thanks🎉fuc.","@user-vp1kt7hn6n","2023-10-14T06:18:02Z"
"UgyBRRNhR9Zp4IDHeQd4AaABAg","Hello from nepal","@kamalacharya2329","2023-10-14T02:51:48Z"
"Ugw3i_r8saIrFidsWrV4AaABAg","From bangladesh..💕💗💗","@aliashraf5397","2023-10-12T15:47:52Z"
"UgwENGuNlEDpg-hlFfd4AaABAg","Hello from Cambodia 🇰🇭💗","@soemvoleak7216","2023-10-12T07:24:44Z"
